iter	Passed	Remaining
0	0	129
1	0	123
2	0	120
3	0	114
4	1	108
5	1	103
6	1	100
7	1	96
8	1	92
9	1	90
10	1	86
11	2	85
12	2	83
13	2	82
14	2	80
15	2	79
16	2	78
17	2	76
18	2	75
19	3	75
20	3	74
21	3	74
22	3	73
23	3	72
24	3	72
25	3	72
26	4	71
27	4	70
28	4	70
29	4	69
30	4	69
31	4	68
32	4	68
33	4	67
34	5	67
35	5	67
36	5	66
37	5	66
38	5	66
39	5	66
40	5	65
41	6	66
42	6	65
43	6	66
44	6	65
45	6	65
46	6	65
47	7	66
48	7	66
49	7	65
50	7	65
51	7	66
52	7	66
53	7	65
54	8	65
55	8	67
56	8	67
57	8	67
58	8	66
59	9	66
60	9	66
61	9	65
62	9	65
63	9	65
64	9	64
65	9	64
66	9	64
67	10	63
68	10	63
69	10	63
70	10	63
71	10	62
72	10	62
73	10	62
74	10	62
75	11	61
76	11	61
77	11	61
78	11	61
79	11	60
80	11	60
81	11	60
82	11	60
83	12	59
84	12	59
85	12	59
86	12	59
87	12	59
88	12	59
89	12	58
90	13	58
91	13	58
92	13	58
93	13	58
94	13	58
95	13	58
96	13	58
97	14	57
98	14	57
99	14	57
100	14	57
101	14	57
102	14	57
103	14	57
104	15	56
105	15	56
106	15	56
107	15	56
108	15	56
109	15	56
110	15	55
111	16	55
112	16	55
113	16	55
114	16	55
115	16	55
116	16	54
117	16	54
118	17	54
119	17	54
120	17	54
121	17	54
122	17	54
123	17	54
124	17	53
125	18	53
126	18	53
127	18	53
128	18	53
129	18	53
130	18	53
131	19	53
132	19	53
133	19	53
134	19	53
135	19	53
136	19	52
137	20	52
138	20	52
139	20	52
140	20	52
141	20	52
142	20	52
143	21	52
144	21	51
145	21	51
146	21	51
147	21	51
148	21	51
149	21	51
150	22	51
151	22	50
152	22	50
153	22	50
154	22	50
155	22	50
156	22	50
157	23	50
158	23	50
159	23	50
160	23	49
161	23	49
162	24	49
163	24	49
164	24	49
165	24	49
166	24	49
167	24	49
168	24	48
169	25	48
170	25	48
171	25	48
172	25	48
173	25	48
174	25	47
175	25	47
176	26	47
177	26	47
178	26	47
179	26	47
180	26	47
181	26	46
182	26	46
183	27	46
184	27	46
185	27	46
186	27	46
187	27	45
188	27	45
189	27	45
190	28	45
191	28	45
192	28	45
193	28	45
194	29	45
195	29	45
196	29	45
197	29	45
198	29	45
199	29	44
200	30	44
201	30	44
202	30	44
203	30	44
204	30	44
205	30	44
206	31	44
207	31	44
208	31	43
209	31	43
210	31	43
211	31	43
212	32	43
213	32	43
214	32	42
215	32	42
216	32	42
217	32	42
218	33	42
219	33	42
220	33	42
221	33	42
222	33	42
223	33	41
224	34	41
225	34	41
226	34	41
227	34	41
228	34	41
229	34	41
230	35	40
231	35	40
232	35	40
233	35	40
234	35	40
235	35	40
236	35	39
237	36	39
238	36	39
239	36	39
240	36	39
241	36	39
242	36	39
243	37	38
244	37	38
245	37	38
246	37	38
247	37	38
248	37	38
249	38	38
250	38	37
251	38	37
252	38	37
253	38	37
254	38	37
255	38	37
256	38	36
257	39	36
258	39	36
259	39	36
260	39	36
261	39	36
262	40	36
263	40	36
264	40	35
265	40	35
266	40	35
267	40	35
268	41	35
269	41	35
270	41	34
271	41	34
272	41	34
273	41	34
274	41	34
275	42	34
276	42	33
277	42	33
278	42	33
279	42	33
280	42	33
281	42	33
282	43	33
283	43	32
284	43	32
285	43	32
286	43	32
287	43	32
288	43	32
289	44	31
290	44	31
291	44	31
292	44	31
293	44	31
294	44	31
295	44	31
296	45	30
297	45	30
298	45	30
299	45	30
300	45	30
301	45	30
302	46	29
303	46	29
304	46	29
305	46	29
306	46	29
307	46	29
308	46	29
309	47	28
310	47	28
311	47	28
312	47	28
313	47	28
314	47	28
315	47	27
316	48	27
317	48	27
318	48	27
319	48	27
320	48	27
321	48	26
322	48	26
323	49	26
324	49	26
325	49	26
326	49	26
327	49	26
328	49	25
329	49	25
330	50	25
331	50	25
332	50	25
333	50	25
334	50	25
335	50	24
336	51	24
337	51	24
338	51	24
339	51	24
340	51	24
341	51	23
342	52	23
343	52	23
344	52	23
345	52	23
346	52	23
347	52	23
348	52	22
349	52	22
350	53	22
351	53	22
352	53	22
353	53	22
354	53	21
355	53	21
356	53	21
357	54	21
358	54	21
359	54	21
360	54	20
361	54	20
362	54	20
363	54	20
364	54	20
365	55	20
366	55	20
367	55	19
368	55	19
369	55	19
370	55	19
371	55	19
372	56	19
373	56	18
374	56	18
375	56	18
376	56	18
377	56	18
378	56	18
379	56	17
380	57	17
381	57	17
382	57	17
383	57	17
384	57	17
385	57	17
386	57	16
387	57	16
388	58	16
389	58	16
390	58	16
391	58	16
392	58	15
393	58	15
394	58	15
395	58	15
396	59	15
397	59	15
398	59	15
399	59	14
400	59	14
401	59	14
402	59	14
403	59	14
404	60	14
405	60	13
406	60	13
407	60	13
408	60	13
409	60	13
410	60	13
411	61	13
412	61	12
413	61	12
414	61	12
415	61	12
416	61	12
417	61	12
418	62	12
419	62	11
420	62	11
421	62	11
422	62	11
423	63	11
424	63	11
425	63	11
426	63	10
427	63	10
428	63	10
429	63	10
430	63	10
431	64	10
432	64	9
433	64	9
434	64	9
435	64	9
436	64	9
437	64	9
438	64	9
439	65	8
440	65	8
441	65	8
442	65	8
443	65	8
444	65	8
445	65	7
446	66	7
447	66	7
448	66	7
449	66	7
450	66	7
451	66	7
452	66	6
453	66	6
454	67	6
455	67	6
456	67	6
457	67	6
458	67	6
459	67	5
460	67	5
461	67	5
462	68	5
463	68	5
464	68	5
465	68	4
466	68	4
467	68	4
468	68	4
469	68	4
470	69	4
471	69	4
472	69	3
473	69	3
474	69	3
475	69	3
476	69	3
477	69	3
478	70	3
479	70	2
480	70	2
481	70	2
482	70	2
483	70	2
484	70	2
485	70	2
486	71	1
487	71	1
488	71	1
489	71	1
490	71	1
491	71	1
492	71	1
493	72	0
494	72	0
495	72	0
496	72	0
497	72	0
498	72	0
499	72	0
