iter	Passed	Remaining
0	0	298
1	0	231
2	0	241
3	0	226
4	1	233
5	1	235
6	1	226
7	1	237
8	2	241
9	2	245
10	2	237
11	2	232
12	3	228
13	3	228
14	3	225
15	3	220
16	3	216
17	3	214
18	4	210
19	4	207
20	4	207
21	4	203
22	4	200
23	5	208
24	5	209
25	5	209
26	5	209
27	6	211
28	6	212
29	6	213
30	6	213
31	7	213
32	7	212
33	7	212
34	7	214
35	7	213
36	8	212
37	8	213
38	8	212
39	8	210
40	9	210
41	9	210
42	9	210
43	9	210
44	9	209
45	10	208
46	10	209
47	10	208
48	10	208
49	10	208
50	11	207
51	11	205
52	11	204
53	11	204
54	11	204
55	12	207
56	12	207
57	12	207
58	12	207
59	13	207
60	13	206
61	13	206
62	13	206
63	14	206
64	14	206
65	14	206
66	14	205
67	15	205
68	15	205
69	15	205
70	15	204
71	15	204
72	16	204
73	16	203
74	16	203
75	16	203
76	16	202
77	17	201
78	17	201
79	17	201
80	17	201
81	17	201
82	18	200
83	18	200
84	18	200
85	18	199
86	19	199
87	19	198
88	19	198
89	19	198
90	19	197
91	19	197
92	20	197
93	20	196
94	20	196
95	20	195
96	20	195
97	21	194
98	21	194
99	21	194
100	21	193
101	21	193
102	22	192
103	22	192
104	22	192
105	22	192
106	23	192
107	23	192
108	23	192
109	23	192
110	24	192
111	24	192
112	24	192
113	24	191
114	24	191
115	25	191
116	25	191
117	25	191
118	25	191
119	26	191
120	26	190
121	26	190
122	26	190
123	26	189
124	27	189
125	27	189
126	27	188
127	27	188
128	27	188
129	28	188
130	28	188
131	28	188
132	28	187
133	29	187
134	29	187
135	29	187
136	29	186
137	29	186
138	30	186
139	30	186
140	30	186
141	30	185
142	30	185
143	31	185
144	31	186
145	31	186
146	32	186
147	32	185
148	32	185
149	32	185
150	32	185
151	33	184
152	33	184
153	33	184
154	33	183
155	33	183
156	34	183
157	34	183
158	34	183
159	34	183
160	35	183
161	35	183
162	35	182
163	35	182
164	36	182
165	36	182
166	36	182
167	36	181
168	36	181
169	37	181
170	37	180
171	37	180
172	37	180
173	37	180
174	38	180
175	38	180
176	38	179
177	38	179
178	39	179
179	39	179
180	39	178
181	39	178
182	40	178
183	40	178
184	40	178
185	40	177
186	40	177
187	41	177
188	41	177
189	41	176
190	41	176
191	41	176
192	42	176
193	42	176
194	42	176
195	42	176
196	43	175
197	43	175
198	43	175
199	43	175
200	43	174
201	44	174
202	44	175
203	44	175
204	45	175
205	45	175
206	45	175
207	46	175
208	46	175
209	46	175
210	46	175
211	47	174
212	47	174
213	47	174
214	47	174
215	47	173
216	48	173
217	48	173
218	48	172
219	48	172
220	48	172
221	49	172
222	49	172
223	49	171
224	49	171
225	49	171
226	50	170
227	50	170
228	50	170
229	50	169
230	50	169
231	51	169
232	51	169
233	51	169
234	51	168
235	52	168
236	52	168
237	52	168
238	52	167
239	52	167
240	53	167
241	53	166
242	53	166
243	53	166
244	53	166
245	54	166
246	54	165
247	54	165
248	54	165
249	55	165
250	55	165
251	55	164
252	55	164
253	56	164
254	56	164
255	56	164
256	57	164
257	57	164
258	57	164
259	57	164
260	57	164
261	58	164
262	58	163
263	58	163
264	58	163
265	59	163
266	59	162
267	59	162
268	59	162
269	59	162
270	60	161
271	60	161
272	60	161
273	60	160
274	60	160
275	61	160
276	61	160
277	61	159
278	61	159
279	61	159
280	62	158
281	62	158
282	62	158
283	62	158
284	62	157
285	63	157
286	63	157
287	63	157
